qubit,fidelity_without_active_reset,fidelity_with_active_reset,fidelity_delta_active_minus_without,status
q1,0.8109500000000001,0.64345,-0.1675000000000001,measured
q2,0.5145,0.5192,0.0047000000000000375,measured
q3,0.91905,0.70975,-0.20930000000000004,measured
q4,0.8264,0.61375,-0.21265,measured
q5,0.6552,0.5783499999999999,-0.07685000000000008,measured
q6,0.7907500000000001,0.51755,-0.2732000000000001,measured
q7,0.9170499999999999,0.55975,-0.35729999999999995,measured
q8,0.86175,0.61885,-0.2429,measured
q9,0.8017,0.5007,-0.30099999999999993,measured
q10,0.73255,0.7654,0.032849999999999935,measured
q11,0.8082,0.64085,-0.16735,measured
q12,0.856,0.5003,-0.3557,measured
q13,0.88485,0.8505499999999999,-0.03430000000000011,measured
q14,0.8308500000000001,0.84725,0.01639999999999986,measured
q15,0.7799,0.87275,0.09284999999999999,measured
q16,0.9436,0.95715,0.013549999999999951,measured
q17,0.90455,0.9168000000000001,0.012250000000000094,measured
q18,0.8049,0.56345,-0.24144999999999994,measured
q19,0.8227,0.9644,0.14170000000000005,measured
q20,0.50395,0.49985,-0.0040999999999999925,measured
