qubit,condition,readout_fidelity,ground_readout_fidelity,excited_readout_fidelity,threshold,blobs_angle,status
q1,without_active_reset,0.8109500000000001,0.812,0.8099,-0.2214529805757726,0.14411604011756074,measured
q2,without_active_reset,0.5145,0.512,0.517,0.030691829765567807,-2.54785839698147,measured
q3,without_active_reset,0.91905,0.9312,0.9069,-0.3041386993448596,-0.9508238329751643,measured
q4,without_active_reset,0.8264,0.8487,0.8041,0.21271842941583474,-1.2454236447210671,measured
q5,without_active_reset,0.6552,0.7161,0.5943,0.026776303527623613,0.13003569279322116,measured
q6,without_active_reset,0.7907500000000001,0.7891,0.7924,0.04829449591807983,-0.3709182067765023,measured
q7,without_active_reset,0.9170499999999999,0.9258,0.9083,-0.29290247446077705,-1.9861599493283895,measured
q8,without_active_reset,0.86175,0.8641,0.8594,-0.02722495395814266,-1.7356385341806917,measured
q9,without_active_reset,0.8017,0.7945,0.8089,-1.2147917807167574,-0.9992417303376155,measured
q10,without_active_reset,0.73255,0.7567,0.7084,0.48957053381166027,0.4137654817403413,measured
q11,without_active_reset,0.8082,0.7774,0.839,0.34302394128592284,-0.9199892134962634,measured
q12,without_active_reset,0.856,0.8214,0.8906,-0.9554802791157471,-3.10013415703423,measured
q13,without_active_reset,0.88485,0.8879,0.8818,-0.11189750260788656,0.17562856003962216,measured
q14,without_active_reset,0.8308500000000001,0.8252,0.8365,-0.3061850864490742,0.007701902184587724,measured
q15,without_active_reset,0.7799,0.8055,0.7543,-0.677515292562705,0.0875901275366566,measured
q16,without_active_reset,0.9436,0.9553,0.9319,-0.45913618265063166,-0.0012074466337685407,measured
q17,without_active_reset,0.90455,0.9229,0.8862,-0.35859305724644747,-0.7681324142036188,measured
q18,without_active_reset,0.8049,0.8111,0.7987,0.5049551210649981,-1.704234341891604,measured
q19,without_active_reset,0.8227,0.8145,0.8309,0.997031576451358,0.015207242992231017,measured
q20,without_active_reset,0.50395,0.5059,0.502,-0.012468276140592115,-0.20337321521880902,measured
q1,with_active_reset,0.64345,0.6305,0.6564,-0.22980795861648134,0.03877643397419186,measured
q2,with_active_reset,0.5192,0.5215,0.5169,0.021818258536867238,-2.860749396577698,measured
q3,with_active_reset,0.70975,0.7054,0.7141,-0.30550685441066705,-0.9448895430029737,measured
q4,with_active_reset,0.61375,0.6647,0.5628,0.3794820415629314,-1.1422245293352233,measured
q5,with_active_reset,0.5783499999999999,0.5554,0.6013,-0.2344435934940856,0.14222117340710616,measured
q6,with_active_reset,0.51755,0.4923,0.5428,0.010077273737712718,-0.6261999609295853,measured
q7,with_active_reset,0.55975,0.5915,0.528,-0.2818959337967266,1.170808193571812,measured
q8,with_active_reset,0.61885,0.5755,0.6622,0.04702453283745418,-1.6967411108553025,measured
q9,with_active_reset,0.5007,0.3818,0.6196,-1.258580283346206,-0.5708408588280258,measured
q10,with_active_reset,0.7654,0.7804,0.7504,0.45555063886486186,0.4027027429395287,measured
q11,with_active_reset,0.64085,0.3869,0.8948,0.2437779334988096,-0.8878244952761232,measured
q12,with_active_reset,0.5003,0.3077,0.6929,-0.23066004457653316,-2.989836476621271,measured
q13,with_active_reset,0.8505499999999999,0.814,0.8871,-0.15129052734359888,0.1522077954567846,measured
q14,with_active_reset,0.84725,0.819,0.8755,-0.3370671560117221,0.05878991080694713,measured
q15,with_active_reset,0.87275,0.9343,0.8112,-0.6117130162866485,0.11229888003577128,measured
q16,with_active_reset,0.95715,0.9743,0.94,-0.45369953785566547,-0.02747897192522431,measured
q17,with_active_reset,0.9168000000000001,0.931,0.9026,-0.35785272819889347,-0.767270453238761,measured
q18,with_active_reset,0.56345,0.5488,0.5781,0.7403721923877946,-1.4227858520339023,measured
q19,with_active_reset,0.9644,0.9574,0.9714,1.0133951145771727,0.00032874088297238716,measured
q20,with_active_reset,0.49985,0.5016,0.4981,-0.016248450424115414,3.0074932957309537,measured
