qubit,fidelity_without_active_reset,fidelity_with_active_reset,fidelity_delta_active_minus_without,status
q1,0.5642,0.55735,-0.006850000000000023,measured
q2,0.5056,0.50925,0.003649999999999931,measured
q3,0.5257499999999999,0.52815,0.0024000000000000687,measured
q4,0.82145,0.5056499999999999,-0.3158000000000001,measured
q5,0.8382000000000001,0.5590999999999999,-0.2791000000000001,measured
q6,0.5961,0.5045999999999999,-0.09150000000000003,measured
q7,0.88255,0.5676,-0.31494999999999995,measured
q8,0.8177,0.9534,0.13570000000000004,measured
q9,0.75615,0.59895,-0.1572,measured
q10,0.5575,0.5097,-0.047799999999999954,measured
q11,0.81335,0.9541999999999999,0.14084999999999992,measured
q12,0.75205,0.52305,-0.22899999999999998,measured
q13,0.8462000000000001,0.84145,-0.004750000000000032,measured
q14,0.5914,0.5118,-0.0796,measured
q15,0.65205,0.5427,-0.10935000000000006,measured
q16,0.60365,0.5164,-0.08725000000000005,measured
q17,0.731,0.6826,-0.0484,measured
q18,0.79705,0.7214499999999999,-0.07560000000000011,measured
q19,0.7499,0.52315,-0.22675,measured
q20,0.7117,0.6629,-0.048799999999999955,measured
