qubit,condition,readout_fidelity,ground_readout_fidelity,excited_readout_fidelity,threshold,blobs_angle,status
q1,without_active_reset,0.563,0.5652,0.5608,0.00030210349315829476,-1.3457075292046,measured
q2,without_active_reset,0.5041,0.5055,0.5027,-0.012502503314060932,0.445873909596697,measured
q3,without_active_reset,0.5259,0.6198,0.432,-0.19292407848700438,-1.4593040857148603,measured
q4,without_active_reset,0.8210500000000001,0.8574,0.7847,0.11135838917928634,2.824295285476231,measured
q5,without_active_reset,0.84735,0.8839,0.8108,0.132124000195147,3.0665317736143813,measured
q6,without_active_reset,0.5903,0.7164,0.4642,-1.0111635909155046,-1.7321770548557027,measured
q7,without_active_reset,0.87245,0.8755,0.8694,-0.030604944867152234,-1.024728987220515,measured
q8,without_active_reset,0.8509500000000001,0.8494,0.8525,-0.34823975964620246,-0.5273029669093421,measured
q9,without_active_reset,0.8028500000000001,0.7587,0.847,-0.4579174725863496,-2.185354325077664,measured
q10,without_active_reset,0.5657,0.5584,0.573,0.014549927831474286,-1.3103663875388143,measured
q11,without_active_reset,0.8292999999999999,0.8055,0.8531,1.0574241606563,0.507286729945032,measured
q12,without_active_reset,0.73815,0.7383,0.738,-0.09570726921745157,-2.313886543785374,measured
q13,without_active_reset,0.9077999999999999,0.9123,0.9033,-0.01812173138918638,-2.704994972498534,measured
q14,without_active_reset,0.6024499999999999,0.6036,0.6013,0.02521959110853675,-3.1257073109448967,measured
q15,without_active_reset,0.6516,0.6517,0.6515,0.054653695200120145,2.344135217798834,measured
q16,without_active_reset,0.6023499999999999,0.5989,0.6058,0.04054348172774547,2.2385784304314873,measured
q17,without_active_reset,0.7343500000000001,0.7353,0.7334,0.06156895638852192,1.3288073729458794,measured
q18,without_active_reset,0.80665,0.8195,0.7938,0.07780330770373302,-0.7938650357802982,measured
q19,without_active_reset,0.7633000000000001,0.7586,0.768,-0.03381294473306979,1.7483595460822083,measured
q20,without_active_reset,0.7225,0.7256,0.7194,-0.11159639649339893,-0.4516651983058564,measured
q1,with_active_reset,0.56105,0.5639,0.5582,0.0038462946489512167,2.1499665469571916,measured
q2,with_active_reset,0.50585,0.5068,0.5049,-0.010830154141612942,1.7955199526807721,measured
q3,with_active_reset,0.5239499999999999,0.6637,0.3842,-0.20157746511175934,-1.6140173969597023,measured
q4,with_active_reset,0.5086999999999999,0.5193,0.4981,0.018784884462469932,-1.8040252586609007,measured
q5,with_active_reset,0.538,0.5849,0.4911,0.20505731473532451,0.9679190731480872,measured
q6,with_active_reset,0.5035000000000001,0.5212,0.4858,-0.7489708687672751,-2.3678596751958847,measured
q7,with_active_reset,0.5710500000000001,0.5586,0.5835,-0.03253116456532674,-1.021917746513628,measured
q8,with_active_reset,0.9494,0.9464,0.9524,-0.34883381673458613,-0.5108491579711316,measured
q9,with_active_reset,0.5983,0.6647,0.5319,-0.3999295255707376,0.6054232308585461,measured
q10,with_active_reset,0.50255,0.501,0.5041,0.015427274657401287,-1.7238130399042433,measured
q11,with_active_reset,0.9533,0.9335,0.9731,1.0780093406255156,0.5122353004011494,measured
q12,with_active_reset,0.5155000000000001,0.5161,0.5149,-0.0885449419646953,0.7984508786225297,measured
q13,with_active_reset,0.8484,0.9253,0.7715,0.08450368511482548,0.449366933546409,measured
q14,with_active_reset,0.50575,0.5028,0.5087,0.028753619173764785,-0.6931342585382931,measured
q15,with_active_reset,0.5403,0.538,0.5426,0.0625096657092053,2.3305622174602365,measured
q16,with_active_reset,0.5133000000000001,0.5087,0.5179,0.040449388232010774,2.316779004250278,measured
q17,with_active_reset,0.67535,0.6702,0.6805,0.05959723672708877,1.3260625314528265,measured
q18,with_active_reset,0.70955,0.7268,0.6923,0.11891674639779495,-0.6774530842032324,measured
q19,with_active_reset,0.5284,0.5498,0.507,-0.042318465223603205,-1.5617773514080981,measured
q20,with_active_reset,0.66315,0.6497,0.6766,-0.12934142345161395,-0.385370017508542,measured
